system:index,area_m2,cluster,.geo
0,1.6215604127738953E7,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8884868.497558594,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2214635964256287E7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.2420557749023438E7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1697782.4337615967,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.4032024999565125E7,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.0908420263809204E7,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.2033686440551758E7,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4922512982681274E7,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6026327099815369E7,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
