,species,timestep,temp,avg_value,vec2,LWC,RWC
1,BO,A,1,19.30120968,18.46040428,1.204333333,0.012339162
2,BO,A,2,19.30285618,20.53292444,1.297,0.012182004
3,BO,B,1,20.90141633,19.45095451,1.082333333,0.011185341
4,BO,B,2,20.33020833,21.52347467,1.065666667,0.010051479
5,BO,C,1,20.52735887,19.9432088,1.014333333,0.010467177
6,BO,C,2,21.88427419,22.01572896,0.943,0.008875557
7,BO,D,1,21.12428427,21.76128675,0.866,0.00892115
8,BO,D,2,24.15018145,23.83380691,0.658,0.006060425
9,RM,A,1,23.76224798,22.31042066,0.924,0.009927265
10,RM,A,2,22.8094086,24.38294082,0.922,0.009811123
11,RM,B,1,24.3930998,23.30097089,0.848333333,0.009122928
12,RM,B,2,23.9459039,25.37349105,0.691,0.007331463
13,RM,C,1,23.00186492,23.79322518,0.779666667,0.008384186
14,RM,C,2,26.85898185,25.86574534,0.523333333,0.005507276
15,RM,D,1,21.13609543,25.61130313,0.611,0.006621978
16,RM,D,2,32.41431788,27.68382329,0.156,0.001607697
17,SM,A,1,23.48570901,21.49189936,1.122,0.009624687
18,SM,A,2,23.03326277,23.56441952,1.354333333,0.010146067
19,SM,B,1,22.81312164,22.4824496,1.071666667,0.009227903
20,SM,B,2,24.07710349,24.55496976,0.978666667,0.007385084
21,SM,C,1,23.12488911,22.97470388,1.016,0.008747885
22,SM,C,2,24.92183804,25.04722404,0.835666667,0.006273669
23,SM,D,1,23.72022849,24.79278184,0.897333333,0.007761684
24,SM,D,2,26.59759745,26.865302,0.543,0.004029797
25,WO,A,1,20.37449933,20.70332073,1.023333333,0.011535489
26,WO,A,2,22.15297715,22.77584089,0.625666667,0.011436611
27,WO,B,1,22.75204973,21.69387097,0.914333333,0.010271096
28,WO,B,2,22.93366935,23.76639113,0.501333333,0.00908934
29,WO,C,1,21.80626008,22.18612525,0.860333333,0.009649019
30,WO,C,2,23.95913978,24.25864541,0.417666667,0.00746437
31,WO,D,1,22.73679435,24.00420321,0.710333333,0.007943337
32,WO,D,2,28.74973118,26.07672337,0.218,0.003597221
